size,H2d – kilo,D2h – kio,H2d – Mega,D2h – Mega
1,0.090909090909091,0.058823529411765,0.001801477211313,0.000707013574661
2,0.158730158730159,0.123157449101335,0.001795977011494,0.000728066982162
4,0.240963855421687,0.148367952522255,0.002018163471241,0.000726991183414
8,0.392927308447937,0.197530864197531,0.002872428279056,0.000746073786698
16,0.502670436694942,0.218340611353712,0.003100198412698,0.000788959809253
32,0.594464053501765,0.252585050122346,0.002927454029823,0.000784794604537
64,0.770156438026474,0.287821550638604,0.004255885091103,0.000790661882898
128,0.846392911459366,0.317397341797262,0.004416991614617,0.000809386352355
256,1.08428631935621,0.43331076506432,0.004659543874338,0.000830435459594
512,1.6783583557333,0.664762399376785,0.004957493367416,0.000837937626018
